ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,{B0B4EAB5-8A23-445F-A6E9-0981994ACBD8},NA,NA,2012-07-25T00:00:00Z,NA,02080206016646,Henrico,2.03,0.02
390 (Lake/Pond),39004,Perennial,135652453,NA,NA,2005-05-17T10:36:57Z,NA,02080206002443,Henrico,2.01,0.02
390 (Lake/Pond),39004,Perennial,{DABDF3A3-1F07-418B-98DB-BEFB57C084D1},NA,NA,2012-07-25T00:00:00Z,NA,02080206016768,Henrico,2,0.02
390 (Lake/Pond),39004,Perennial,61497581,NA,NA,2002-11-15T00:00:00Z,NA,02080207002552,Chesterfield,2,0.02
390 (Lake/Pond),39004,Perennial,61495833,NA,NA,2002-11-15T00:00:00Z,NA,02080207008595,Chesterfield,2,0.02
390 (Lake/Pond),39004,Perennial,135652731,NA,NA,2005-05-17T10:43:59Z,NA,02080206002094,Henrico,1.99,0.02
390 (Lake/Pond),43613,Unknown,135653550,NA,NA,2005-05-17T10:24:29Z,NA,02080206014169,Chesterfield,1.98,0.02
390 (Lake/Pond),39004,Perennial,135652509,Staples Millpond,01475072,2012-07-25T00:00:00Z,NA,02080206014663,Henrico,1.97,0.02
390 (Lake/Pond),39004,Perennial,135652420,NA,NA,2005-05-17T10:36:09Z,NA,02080206014591,Henrico,1.95,0.02
390 (Lake/Pond),39004,Perennial,61495855,NA,NA,2002-11-15T00:00:00Z,NA,02080207008606,Chesterfield,1.94,0.02
390 (Lake/Pond),39004,Perennial,135653307,NA,NA,2005-05-17T10:57:56Z,NA,02080206015298,Chesterfield,1.92,0.02
390 (Lake/Pond),39004,Perennial,62589420,Hobby Hill Lake,01491077,2002-11-27T00:00:00Z,NA,02080205001572,Richmond City,1.92,0.02
390 (Lake/Pond),39004,Perennial,{D225CEF1-A3A9-4B0D-8986-3A9E34117780},NA,NA,2012-10-16T00:00:00Z,NA,02080207113509,Chesterfield,1.92,0.02
390 (Lake/Pond),39004,Perennial,{2C8034CD-C3B4-4591-91DB-990A78EDF194},NA,NA,2012-07-25T00:00:00Z,NA,02080206016710,Chesterfield,1.91,0.02
